sample_id,year,special,channel,coder,coder_id,news_unanimous,news_majority,news_coded,geography_unanimous,geography_majority,geography_coded
18528,1968,FALSE,CBS,1,33359860,hard,hard,hard,national,national,national
18528,1968,FALSE,CBS,2,45156664,hard,hard,hard,national,national,national
18528,1968,FALSE,CBS,3,45183934,hard,hard,hard,national,national,national
18510,1968,FALSE,NBC,1,44975113,hard,hard,hard,NA,international,international
18510,1968,FALSE,NBC,2,45602176,hard,hard,hard,NA,international,international
18510,1968,FALSE,NBC,3,45690795,hard,hard,hard,NA,international,national
71,1968,TRUE,CBS,1,45348963,hard,hard,hard,national,national,national
71,1968,TRUE,CBS,2,44975113,hard,hard,hard,national,national,national
71,1968,TRUE,CBS,3,45204515,hard,hard,hard,national,national,national
115,1968,TRUE,ABC,1,44975113,hard,hard,hard,national,national,national
115,1968,TRUE,ABC,2,43879440,hard,hard,hard,national,national,national
115,1968,TRUE,ABC,3,33359860,hard,hard,hard,national,national,national
77099,1968,FALSE,CBS,1,45348963,hard,hard,hard,national,national,national
77099,1968,FALSE,CBS,2,45544038,hard,hard,hard,national,national,national
77099,1968,FALSE,CBS,3,45567834,hard,hard,hard,national,national,national
644371,1968,FALSE,CBS,1,33359860,hard,hard,hard,national,national,national
644371,1968,FALSE,CBS,2,45156664,hard,hard,hard,national,national,national
644371,1968,FALSE,CBS,3,45183934,hard,hard,hard,national,national,national
5,1968,TRUE,NBC,1,44975113,hard,hard,hard,national,national,national
5,1968,TRUE,NBC,2,45686939,hard,hard,hard,national,national,national
5,1968,TRUE,NBC,3,45602847,hard,hard,hard,national,national,national
18517,1968,FALSE,CBS,1,44975113,hard,hard,hard,NA,national,national
18517,1968,FALSE,CBS,2,45598929,hard,hard,hard,NA,national,national
18517,1968,FALSE,CBS,3,45464287,hard,hard,hard,NA,national,local
9,1968,TRUE,CBS,1,44975113,hard,hard,hard,national,national,national
9,1968,TRUE,CBS,2,43879440,hard,hard,hard,national,national,national
9,1968,TRUE,CBS,3,33359860,hard,hard,hard,national,national,national
655245,1968,FALSE,ABC,1,43879440,hard,hard,hard,national,national,national
655245,1968,FALSE,ABC,2,36985538,hard,hard,hard,national,national,national
655245,1968,FALSE,ABC,3,33256761,hard,hard,hard,national,national,national
661924,1968,FALSE,ABC,1,45126470,hard,hard,hard,international,international,international
661924,1968,FALSE,ABC,2,45686132,hard,hard,hard,international,international,international
661924,1968,FALSE,ABC,3,45710263,hard,hard,hard,international,international,international
661655,1968,FALSE,ABC,1,45126470,hard,hard,hard,NA,national,national
661655,1968,FALSE,ABC,2,45544038,hard,hard,hard,NA,national,international
661655,1968,FALSE,ABC,3,45598929,hard,hard,hard,NA,national,national
4,1968,TRUE,NBC,1,45126470,hard,hard,hard,national,national,national
4,1968,TRUE,NBC,2,45686132,hard,hard,hard,national,national,national
4,1968,TRUE,NBC,3,45590294,hard,hard,hard,national,national,national
99,1968,TRUE,NBC,1,45183934,hard,hard,hard,national,national,national
99,1968,TRUE,NBC,2,45158697,hard,hard,hard,national,national,national
99,1968,TRUE,NBC,3,45178046,hard,hard,hard,national,national,national
102,1968,TRUE,NBC,1,44975113,hard,hard,hard,national,national,national
102,1968,TRUE,NBC,2,45598929,hard,hard,hard,national,national,national
102,1968,TRUE,NBC,3,45557611,hard,hard,hard,national,national,national
662040,1968,FALSE,NBC,1,45126470,hard,hard,hard,international,international,international
662040,1968,FALSE,NBC,2,45544038,hard,hard,hard,international,international,international
662040,1968,FALSE,NBC,3,45541643,hard,hard,hard,international,international,international
88,1968,TRUE,CBS,1,45348963,hard,hard,hard,national,national,national
88,1968,TRUE,CBS,2,44975113,hard,hard,hard,national,national,national
88,1968,TRUE,CBS,3,45204515,hard,hard,hard,national,national,national
642939,1968,FALSE,ABC,1,43879440,hard,hard,hard,international,international,international
642939,1968,FALSE,ABC,2,36985538,hard,hard,hard,international,international,international
642939,1968,FALSE,ABC,3,33256761,hard,hard,hard,international,international,international
94,1968,TRUE,NBC,1,45126470,hard,hard,hard,NA,national,local
94,1968,TRUE,NBC,2,45686132,hard,hard,hard,NA,national,national
94,1968,TRUE,NBC,3,45671455,hard,hard,hard,NA,national,national
72,1968,TRUE,CBS,1,43879440,hard,hard,hard,national,national,national
72,1968,TRUE,CBS,2,36985538,hard,hard,hard,national,national,national
72,1968,TRUE,CBS,3,33256761,hard,hard,hard,national,national,national
70,1968,TRUE,CBS,1,33359860,NA,hard,hard,national,national,national
70,1968,TRUE,CBS,2,45156664,NA,hard,hard,national,national,national
70,1968,TRUE,CBS,3,45183934,NA,hard,not_clear,national,national,national
87,1968,TRUE,CBS,1,45126470,hard,hard,hard,NA,national,national
87,1968,TRUE,CBS,2,45686132,hard,hard,hard,NA,national,national
87,1968,TRUE,CBS,3,45602176,hard,hard,hard,NA,national,international
662004,1968,FALSE,NBC,1,33359860,hard,hard,hard,NA,local,local
662004,1968,FALSE,NBC,2,45156664,hard,hard,hard,NA,local,local
662004,1968,FALSE,NBC,3,45183934,hard,hard,hard,NA,local,national
251423,1968,FALSE,CBS,1,43879440,hard,hard,hard,international,international,international
251423,1968,FALSE,CBS,2,36985538,hard,hard,hard,international,international,international
251423,1968,FALSE,CBS,3,33256761,hard,hard,hard,international,international,international
20,1968,TRUE,NBC,1,44975113,hard,hard,hard,national,national,national
